Month;Frakland;Belgia og Luksemborg (fyrrv.);Niðurlond;Týskland;Italia;Bretland;Írland;Danmark;Grikkaland;Portugal;Spania;Bretland (Norðurírland);Bretland (Norðurírland undantikið);Belgia;Luksemborg;Ceuta;Kanariuoyggjar (fyrrv.);Ceuta & Melilla (fyrrv.);Melilla;Ísland;Noreg;Svøríki;Finnland;Sveis & Liktinstein (fyrrv.);Liktinstein;Eysturríki;Sveis;Andorra;Gibraltar;Vatikanbýur;Malta;San Marino;Jugoslavia (fyrrv.);Turkaland;Estland;Lettland;Litava;Sovjetsamveldið (fyrrv.);Eysturtýskland (fyrrv.);Pólland;Kekkia;Kekkoslovakia (fyrrv.);Slovakia;Ungarn;Rumenia;Bulgaria;Albania;Ukraina;Hvítarussland;Moldova;Russland;Georgia;Armenia;Aserbadjan;Kasakstan;Turkmenistan;Usbekistan;Tadsjikistan;Kirgisia;Juguslavia uttan Slovenia, Kroatia og Bosnia Hersegovina;Slovenia;Kroatia;Bosnia-Hersegovina;Serbia og Montenegro (fyrrv.);Kosovo;Norðurmakedónia;Montenegro;Serbia;Marokko;Ceuta og Melilla (fyrrv.);Algeria;Tunesia;Libya;Egyptaland;Sudan;Suðursudan;Móritania;Vestursahara;Mali;Burkina Faso;Niger;Kjad;Kabo Verdi;Senegal;Gambia;Guinea-Bissau;Guinea;Sierra Leone;Liberia;Fílabeinsstrondin;Gana;Togo;Benin;Nigeria;Kamerun;Miðafrikalýðveldið;Ekvatorguinea;Sao Tomi & Prinsipi;Gabon;Kongo;Kongo, Dem. Lýðveldið;Ruanda;Burundi;St. Helena, Ascension og Tristan da Cunha;Angola;Etiopia;Eritrea;Djibuti;Somalia;Kenja;Uganda;Tansania;Seyskelloyggjar;Chagosoyggjar;Mosambik;Madagaskar;Réunion (fyrrv.);Móritius;Komoroyggjar;Mayotte (fyrrv.);Sambia;Simbabvi;Malavi;Suðurafrika;Namibia;Botsvana;Svasiland;Lesoto;Sambandsríki Amerika (USA);Kanada;Grønland;St Pierre og Miquelon;Meksiko;Bermuda;Guatemala;Belis;Honduras;El Salvador;Nikaragua;Kosta Rika;Panama;Anguilla;Kuba;St. Kitts & Nevis;Haiti;Bahamaoyggjar;Turks- og Caicosoyggjar;Dominikalýðveldið;Virginoyggjar (USA);Guadeloupe (fyrrv.);Antigua & Barbuda;Dominika;Virginoyggjar (Bretland) og Montserrat (fyrrv.);Martinique (fyrrv.);Cayman oyggjar;Jamaika;St. Lusia;Saint Barthélemy;St. Vinsent & Grenadinoyggjar;Virginoyggjar (Bretland);Barbados;Montserrat;Trinidad & Tobago;Grenada;Aruba;Curaçao;Bonaire, St. Eustatius og Saba;Niðurlendsku Antilloyggjar (fyrrv.);Sint Maarten (Niðurlond);Kolumbia;Venesuela;Gujana;Surinam;Franska Gujana (fyrrv.);Ekvador;Peru;Brasil;Kili;Bolivia;Paraguai;Uruguai;Argentina;Falklandsoyggjar;Kýpros;Libanon;Sýria;Irak;Iran;Ísrael;Palestina;Eysturtimor;Jordan;Saudiarabia;Kuvait;Barein;Katar;Sameindu Emirríkini;Oman;Jemen;Afganistan;Pakistan;India;Bangladesj;Maldivoyggjar;Sri Lanka;Nepal;Butan;Myanmar;Tailand;Laos;Vjetnam;Kambodja;Indonesia;Malaisia;Brunei;Singapor;Filipsoyggjar;Mongolia;Kina;Norðurkorea;Suðurkorea;Japan;Taivan;Hong Kong;Macao;Avstralia;Papua Nýguinea;Avstralskt Osiania (fyrrv.);Nauru;Nýsæland;Sálomonsoyggjar;Tuvalu;Nýkaledonia;Amerikanska havið (fyrrv.);Wallis- og Futunaoyggjar;Kiribati;Pitcairnoyggj;Nýsælendska Osiania (fyrrv.);Fiji;Vanuatu;Tonga;Samoa;Norðurmarianoyggjar;Franska Polynesia;Mikronesiasamveldið;Marshalloyggjar;Palau;Amerikanskt Samoa;Guam;Smærri Osianiaoyggjar (USA);Kokosoyggjar;Jólaoyggin;Heardoyggj og McDonaldsoyggjar;Norfolksoyggj;Cooksoyggjar;Niue;Tokelau;Polarøkini (fyrrv.);Bouvetoyggj;Suðurgeorgia og Suðursandwichoyggjar;Fronsku suðurøkini
1988M01;13333343.0;1846719.0;392388.0;18196961.0;11787007.0;30144928.0;0;18900432.0;1527203.0;0;10812240.0;0;0;0;0;0;0;0;0;3421034.0;229519.0;5865808.0;1554641.0;2126054.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18707092.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8285364.0;1104427.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1988M02;10852159.0;1937520.0;371027.0;25014305.0;6636031.0;19965163.0;0;27258607.0;537280.0;0;28461450.0;0;0;0;0;0;0;0;0;1186328.0;5897699.0;4034276.0;2560485.0;576278.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18786126.0;54000.0;620.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14831235.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1988M03;16292092.0;4028224.0;6918863.0;29343097.0;13203912.0;18197832.0;0;34937224.0;5526575.0;0;15879291.0;0;0;0;0;0;0;0;0;1011830.0;7434010.0;2752991.0;2567380.0;1129190.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22565179.0;45345.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;729054.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13716294.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1988M04;11671144.0;2368383.0;0;20519387.0;6994336.0;14924649.0;0;33489253.0;3085282.0;368695.0;9614281.0;0;0;0;0;0;0;0;0;888733.0;2047034.0;3805637.0;2955617.0;779683.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21502349.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1050698.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1988M05;13164214.0;290964.0;23220.0;23723183.0;12261435.0;26364215.0;0;55609244.0;1320841.0;0;9599226.0;0;0;0;0;0;0;0;0;325500.0;7442458.0;4664552.0;1998331.0;1109601.0;0;0;0;0;0;0;0;0;0;0;0;0;0;3213109.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4922666.0;232622.0;41562.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4777953.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1988M06;13462662.0;148234.0;487763.0;17161683.0;15803941.0;11912866.0;0;43902307.0;563904.0;0;13144700.0;0;0;0;0;0;0;0;0;425850.0;8838597.0;2158102.0;1878009.0;681367.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16058738.0;86445.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;929011.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66670000.0;17541166.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1988M07;12130791.0;252107.0;254184.0;11996340.0;5250539.0;18006773.0;0;36424616.0;0;141130.0;7318202.0;0;0;0;0;0;0;0;0;198380.0;107106895.0;3815137.0;2442840.0;783797.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13560087.0;0;30524.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;353937.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1118455.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1988M08;15343310.0;518046.0;895675.0;19693625.0;8670248.0;21362015.0;0;19401866.0;2043305.0;7024842.0;5128410.0;0;0;0;0;0;0;0;0;838124.0;11277233.0;4152590.0;15841150.0;839385.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15545515.0;1509000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;915688.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3681334.0;0;0;0;480150.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1988M09;17609217.0;1162042.0;3748149.0;13102302.0;18033268.0;13800693.0;0;48074076.0;9709278.0;0;6341637.0;0;0;0;0;0;0;0;0;324972.0;8877946.0;2503837.0;3728186.0;549313.0;0;0;0;0;0;0;0;0;0;0;0;0;0;9645834.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23821691.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;468305.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13827832.0;1209755.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1988M10;20231130.0;453272.0;217485.0;7679326.0;24681656.0;44434691.0;0;30038980.0;5234115.0;0;20696072.0;0;0;0;0;0;0;0;0;667096.0;11290508.0;1748201.0;2372810.0;352539.0;0;0;0;0;0;0;0;0;0;0;0;0;0;4794307.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19289449.0;64517000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7598166.0;2739870.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1988M11;18362035.0;1218593.0;697478.0;25211887.0;31240284.0;30438161.0;0;34188401.0;3690747.0;0;14444668.0;0;0;0;0;0;0;0;0;829032.0;9101536.0;2899612.0;5684132.0;1041665.0;0;0;0;0;0;0;0;0;0;0;0;0;0;5655144.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21834732.0;4230000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004000.0;0;0;0;0;0;20408294.0;1634799.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
