nýtsluland;1993 Alt árið;1994 Alt árið;1995 Alt árið;1996 Alt árið;1997 Alt árið;1998 Alt árið;1999 Alt árið;2000 Alt árið;2001 Alt árið;2002 Alt árið;2003 Alt árið;2004 Alt árið;2005 Alt árið;2006 Alt árið;2007 Alt árið;2008 Alt árið;2009 Alt árið;2010 Alt árið;2011 Alt árið;2012 Alt árið;2013 Alt árið;2014 Alt árið;2015 Alt árið;2016 Alt árið;2017 Alt árið;2018 Alt árið;2019 Alt árið;2020 Alt árið;2021 Alt árið;2022 Alt árið
Algeria;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;610.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.7;0.0;0.0;0.0
Angola;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;286.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;410.5
Anguilla;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;147.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Antigua og Barbuda;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;215.7;46.0;0.0;640.1;0.0;0.0;0.0;0.0;0.0;257.8;1236.3;1005.9;0.0;0.0;0.0
Argentina;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;745.0;0.0;0.0;0.0;9750.0;0.0;190000.0;361.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Aruba;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;18.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Aserbadjan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.7;1233.8;325.5;0.0;2298.8;113.0;207.8;2919.1;49.8;0.0;392.1
Avstralia;0.0;4740.5;4435.4;1190.4;997.6;149.4;47.8;2750.3;1.1;0.0;0.0;0.0;0.0;0.0;2.4;182.7;49.8;0.0;176.0;0.0;39.2;0.0;23090.0;441.1;0.0;0.0;31.3;247.6;0.0;0.0
Bahamaoyggjar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.3;546.9;724.4;0.0;0.0;988.9;739.0;0.0;0.0;5394.1;8598.7;1907.2;1398.9;1275.5;1689.4;21107.5
Barbados;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;665.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;302.4
Barein;500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Belgia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6686.5;27846.3;24182.0;13830.5;9030.7;10984.4;7066.1;3884.7;9563.3;13784.5;17317.0;22030.7;12386.3;22697.6;9669.3;13920.3;39893.1;52634.7;47986.2;36267.1;43307.5;17056.9;25324.9
