nýtsluland;1993 Jan;1993 Feb;1993 Mar;1993 Apr;1993 Mai;1993 Jun;1993 Jul;1993 Aug;1993 Sep;1993 Okt;1993 Nov;1993 Des;1994 Jan;1994 Feb;1994 Mar;1994 Apr;1994 Mai;1994 Jun;1994 Jul;1994 Aug;1994 Sep;1994 Okt;1994 Nov;1994 Des;1995 Jan;1995 Feb;1995 Mar;1995 Apr;1995 Mai;1995 Jun;1995 Jul;1995 Aug;1995 Sep;1995 Okt;1995 Nov;1995 Des;1996 Jan;1996 Feb;1996 Mar;1996 Apr;1996 Mai;1996 Jun;1996 Jul;1996 Aug;1996 Sep;1996 Okt;1996 Nov;1996 Des;1997 Jan;1997 Feb;1997 Mar;1997 Apr;1997 Mai;1997 Jun;1997 Jul;1997 Aug;1997 Sep;1997 Okt;1997 Nov;1997 Des;1998 Jan;1998 Feb;1998 Mar;1998 Apr;1998 Mai;1998 Jun;1998 Jul;1998 Aug;1998 Sep;1998 Okt;1998 Nov;1998 Des;1999 Jan;1999 Feb;1999 Mar;1999 Apr;1999 Mai;1999 Jun;1999 Jul;1999 Aug;1999 Sep;1999 Okt;1999 Nov;1999 Des;2000 Jan;2000 Feb;2000 Mar;2000 Apr;2000 Mai;2000 Jun;2000 Jul;2000 Aug;2000 Sep;2000 Okt;2000 Nov;2000 Des;2001 Jan;2001 Feb;2001 Mar;2001 Apr;2001 Mai;2001 Jun;2001 Jul;2001 Aug;2001 Sep;2001 Okt;2001 Nov;2001 Des;2002 Jan;2002 Feb;2002 Mar;2002 Apr;2002 Mai;2002 Jun;2002 Jul;2002 Aug;2002 Sep;2002 Okt;2002 Nov;2002 Des;2003 Jan;2003 Feb;2003 Mar;2003 Apr;2003 Mai;2003 Jun;2003 Jul;2003 Aug;2003 Sep;2003 Okt;2003 Nov;2003 Des;2004 Jan;2004 Feb;2004 Mar;2004 Apr;2004 Mai;2004 Jun;2004 Jul;2004 Aug;2004 Sep;2004 Okt;2004 Nov;2004 Des;2005 Jan;2005 Feb;2005 Mar;2005 Apr;2005 Mai;2005 Jun;2005 Jul;2005 Aug;2005 Sep;2005 Okt;2005 Nov;2005 Des;2006 Jan;2006 Feb;2006 Mar;2006 Apr;2006 Mai;2006 Jun;2006 Jul;2006 Aug;2006 Sep;2006 Okt;2006 Nov;2006 Des;2007 Jan;2007 Feb;2007 Mar;2007 Apr;2007 Mai;2007 Jun;2007 Jul;2007 Aug;2007 Sep;2007 Okt;2007 Nov;2007 Des;2008 Jan;2008 Feb;2008 Mar;2008 Apr;2008 Mai;2008 Jun;2008 Jul;2008 Aug;2008 Sep;2008 Okt;2008 Nov;2008 Des;2009 Jan;2009 Feb;2009 Mar;2009 Apr;2009 Mai;2009 Jun;2009 Jul;2009 Aug;2009 Sep;2009 Okt;2009 Nov;2009 Des;2010 Jan;2010 Feb;2010 Mar;2010 Apr;2010 Mai;2010 Jun;2010 Jul;2010 Aug;2010 Sep;2010 Okt;2010 Nov;2010 Des;2011 Jan;2011 Feb;2011 Mar;2011 Apr;2011 Mai;2011 Jun;2011 Jul;2011 Aug;2011 Sep;2011 Okt;2011 Nov;2011 Des;2012 Jan;2012 Feb;2012 Mar;2012 Apr;2012 Mai;2012 Jun;2012 Jul;2012 Aug;2012 Sep;2012 Okt;2012 Nov;2012 Des;2013 Jan;2013 Feb;2013 Mar;2013 Apr;2013 Mai;2013 Jun;2013 Jul;2013 Aug;2013 Sep;2013 Okt;2013 Nov;2013 Des;2014 Jan;2014 Feb;2014 Mar;2014 Apr;2014 Mai;2014 Jun;2014 Jul;2014 Aug;2014 Sep;2014 Okt;2014 Nov;2014 Des;2015 Jan;2015 Feb;2015 Mar;2015 Apr;2015 Mai;2015 Jun;2015 Jul;2015 Aug;2015 Sep;2015 Okt;2015 Nov;2015 Des;2016 Jan;2016 Feb;2016 Mar;2016 Apr;2016 Mai;2016 Jun;2016 Jul;2016 Aug;2016 Sep;2016 Okt;2016 Nov;2016 Des;2017 Jan;2017 Feb;2017 Mar;2017 Apr;2017 Mai;2017 Jun;2017 Jul;2017 Aug;2017 Sep;2017 Okt;2017 Nov;2017 Des;2018 Jan;2018 Feb;2018 Mar;2018 Apr;2018 Mai;2018 Jun;2018 Jul;2018 Aug;2018 Sep;2018 Okt;2018 Nov;2018 Des;2019 Jan;2019 Feb;2019 Mar;2019 Apr;2019 Mai;2019 Jun;2019 Jul;2019 Aug;2019 Sep;2019 Okt;2019 Nov;2019 Des;2020 Jan;2020 Feb;2020 Mar;2020 Apr;2020 Mai;2020 Jun;2020 Jul;2020 Aug;2020 Sep;2020 Okt;2020 Nov;2020 Des;2021 Jan;2021 Feb;2021 Mar;2021 Apr;2021 Mai;2021 Jun;2021 Jul;2021 Aug;2021 Sep;2021 Okt;2021 Nov;2021 Des;2022 Jan;2022 Feb;2022 Mar;2022 Apr;2022 Mai;2022 Jun;2022 Jul;2022 Aug;2022 Sep;2022 Okt;2022 Nov;2022 Des;2023 Jan;2023 Feb;2023 Mar;2023 Apr;2023 Mai;2023 Jun;2023 Jul;2023 Aug;2023 Sep;2023 Okt;2023 Nov
Tils. (nýtsluland);201982.0;144809.1;209392.5;167046.0;157932.4;221980.2;199857.6;167822.5;162509.6;195136.8;174061.7;129895.2;149554.0;153936.0;199248.8;135417.5;171654.9;171494.2;172849.9;144124.3;246637.3;169109.5;165261.7;197043.8;157686.4;153126.9;268072.3;139667.0;169722.3;175755.9;165360.9;117046.6;196793.3;193705.1;143739.0;145593.6;136056.2;198437.6;251904.9;168877.8;213630.5;211839.7;195101.9;259664.9;206613.0;161737.2;259446.1;160573.8;225122.9;207546.5;157679.4;232420.7;186926.4;198481.1;242186.4;226027.7;253746.4;274560.5;206777.1;163510.7;215985.2;265617.6;174583.9;238852.9;292904.2;240267.5;225591.3;182747.1;297122.9;348794.9;242471.1;209243.3;246614.6;262018.4;263440.3;295003.0;232056.1;262207.9;209350.2;201956.5;292966.1;380026.9;323634.8;300991.4;440156.6;266720.7;356605.4;260887.7;245644.4;296166.6;248401.2;262863.8;342224.8;366873.7;369880.7;375642.4;282024.3;356590.7;465177.5;420433.2;254967.3;374067.8;358969.4;309452.8;397145.9;383266.4;382407.2;326023.1;306270.9;314600.5;395672.2;377202.3;369257.8;316108.5;363260.6;304459.8;348827.8;458219.6;408777.3;271761.5;302813.2;294286.5;359145.6;408606.9;276037.6;310201.5;319206.4;298114.1;293839.5;385613.4;363261.6;301114.3;417121.6;244872.8;373094.0;331962.7;317461.6;279766.8;311119.1;216822.3;298355.3;341742.6;300757.7;256188.4;312771.0;269030.6;277012.9;368556.4;273709.1;245498.7;322777.7;230078.2;299234.1;437735.1;283559.1;266390.5;267660.7;314230.5;419214.1;256164.6;223809.1;351531.7;313404.7;325531.9;377949.6;383886.8;336745.9;298520.4;347400.4;390416.2;356804.7;354711.5;310017.4;381335.9;285350.0;287504.7;349773.3;347754.3;367193.4;278264.1;258514.4;644567.3;327200.6;288498.7;391693.5;291908.5;264687.0;296645.3;333386.6;450876.2;562144.6;235533.6;285140.1;312991.7;366277.1;329331.0;296988.4;331990.1;314543.5;392080.2;354789.1;420000.7;388914.5;311692.7;512482.3;341907.2;382844.3;357577.8;357057.1;352008.9;388241.1;352958.8;465019.0;416970.6;381993.4;387683.1;353678.4;505305.1;416455.3;318339.6;430909.6;431079.0;467173.0;553482.8;491393.5;812113.4;318887.5;322407.3;299871.6;384999.9;467089.8;411862.4;447607.5;398310.5;473208.8;493428.9;592040.6;788007.1;463320.5;333994.0;413362.7;364629.2;446895.3;463817.9;439442.1;519249.3;610360.3;764517.4;634980.8;598425.5;521351.7;404403.6;421397.9;413325.0;452031.6;438767.0;629723.5;438272.9;370026.4;510794.4;838531.3;703471.4;758929.5;485575.0;432771.6;405709.7;673443.6;521447.5;604280.8;470621.8;535711.1;381474.6;718373.3;830350.6;725174.2;643135.0;677489.0;642406.8;643115.3;730995.5;648303.4;581628.2;525179.1;394405.7;873830.0;893298.6;760230.9;719535.0;801395.5;736826.1;727306.7;670152.2;716696.0;750716.4;614672.4;501566.9;883885.6;932905.6;767408.2;673093.1;582901.1;635268.7;757068.3;553841.6;674913.4;722510.1;535883.9;539662.8;641568.3;877508.3;732506.0;769705.5;886144.5;787254.6;748812.8;696199.8;754870.8;594541.3;593454.7;660855.9;1002563.0;1161079.5;783638.4;864182.2;993154.7;727163.6;730218.8;533846.4;684156.6;572393.0;603783.3;693971.5;830826.7;785362.4;673119.8;572797.4;687378.6;576421.7;813006.4;706632.3;749164.9;685568.7;833669.8;709055.0;1084867.9;1063032.4;1023011.9;1129882.3;915564.7;788917.2;1108840.1;860331.5;1209743.0;978456.7;1012606.3;1115345.8;1136452.4;1095652.1;1124869.4;1096616.6;1114955.9;1015590.8;1288982.6;1030746.0;968572.7;799960.1;999304.9;1285295.7;1186952.8;903263.8;1095880.0
Algeria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;610.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;286.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;410.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anguilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antarktis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;612.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua og Barbuda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215.7;0;0;0;0;0;0;0;0;0;0;0;46.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;640.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;373.1;72.1;0;791.1;0;0;109.0;0;0;0;0;0;0;0;212.1;684.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;745.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9750.0;0;0;0;0;0;0;0;0;0;0;0;0;0;190000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56.9;0;0;0;0;0;0
Aruba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.0;0;0;0;0;0;18.0;0;0;0;0;0;0;18.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aserbadjan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;471.7;0;0;0;0;0;0;0;0;424.9;0;808.9;0;0;0;0;0;0;0;0;0;0;0;0;325.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2298.8;0;0;0;0;0;0;0;0;0;0;0;113.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207.8;2438.6;147.9;0;0;332.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;392.1;0;0;0;0;0;0;0;0;0;0;0;0;0
Avstralia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269.6;673.8;570.3;869.2;834.6;707.4;399.7;0;150.1;265.8;696.2;267.6;435.8;217.7;0;0;207.9;87.3;1293.3;168.2;180.1;881.3;0;0;1190.4;0;0;0;0;0;0;0;0;0;0;364.6;239.4;393.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149.4;0;0;0;0;0;5.0;16.9;0;0;0;0;0;0;0;0;25.9;0;0;27.1;0;0;0;0;0;0;0;0;2723.2;0;0;0;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.4;0;0;0;0;0;0;0;0;0;182.7;0;0;0;0;0;0;0;0;0;0;0;0;31.5;0;0;0;18.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.5;0;0;0;156.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23090.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;441.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31.3;0;0;0;0;0;0;0;0;0;0;247.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
