Month;Tils. (land);Afganistan;Albania;Algeria;Amerikanska havið (fyrrv.);Amerikanska Samoa;Andorra;Angola;Anguilla;Antigua og Barbuda;Argentina;Armenia;Aruba;Aserbadjan;Avstralia;Avstralskt Osiania (fyrrv.);Bahamaoyggjar;Bangladesj;Barbados;Barein;Belgia;Belgia og Luksemborg (fyrrv.);Belis;Benin;Bermuda;Bolivia;Bonaire, Sint Eustatius og Saba;Bosnia-Hersegovina;Botsvana;Bouvetoyggj;Brasil;Bretland;Brunei;Bulgaria;Burkina Faso;Burundi;Butan;Caymanoyggjar;Ceuta;Ceuta og Melilla (fyrrv.);Chagosoyggjar;Cooksoyggjar;Curaçao;Danmark;Djibuti;Dominika;Dominikalýðveldið;Egyptaland;Ekvador;Ekvatorguinea;El Salvador;Eritrea;Estland;Esvatini;Etiopia;Eysturríki;Eysturtimor;Eysturtýskland (fyrrv.);Falklandsoyggjar;Fiji;Filipsoyggjar;Finnland;Fílabeinsstrondin;Frakland;Franska Gujana (fyrrv.);Franska Polynesia;Fronsku suðurøkini;Gabon;Gambia;Gana;Georgia;Gibraltar;Grenada;Grikkaland;Grønland;Guadeloupe (fyrrv.);Guam;Guatemala;Guinea;Guinea-Bissau;Gujana;Haiti;Heardoyggj og McDonaldsoyggjar;Honduras;Hong Kong;Hvítarussland;Ikki nærri útgreinað lond og øki;India;Indonesia;Irak;Iran;Italia;Írland;Ísland;Ísrael;Jamaika;Japan;Jemen;Jordan;Jólaoyggin;Jugoslavia (fyrrv.);Juguslavia uttan Slovenia, Kroatia og Bosnia Hersegovina;Kabo Verdi;Kambodja;Kamerun;Kanada;Kanariuoyggjar (fyrrv.);Kasakstan;Katar;Kekkia;Kekkoslovakia (fyrrv.);Kenja;Kili;Kina;Kirgisia;Kiribati;Kjad;Kokosoyggjar;Kolumbia;Komoroyggjar;Kongo;Kongo, Dem. Lýðveldið;Kosovo;Kosta Rika;Kroatia;Kuba;Kuvait;Kýpros;Laos;Lesoto;Lettland;Libanon;Liberia;Libya;Liktinstein;Litava;Luksemborg;Macao;Madagaskar;Malaisia;Malavi;Maldivoyggjar;Mali;Malta;Marokko;Marshalloyggjar;Martinique (fyrrv.);Mayotte (fyrrv.);Meksiko;Melilla;Miðafrikalýðveldið;Mikronesiasamveldið;Moldova;Mongolia;Montenegro;Montserrat;Mosambik;Móritania;Móritius;Myanmar;Namibia;Nauru;Nepal;Niðurlendskar Antilloyggjar (fyrrv.);Niðurlond;Niger;Nigeria;Nikaragua;Niue;Norðaru Marianaoyggjar;Norðurkorea;Norðurmakedónia;Noreg;Norfolksoyggj;Nýkaledónia;Nýsæland;Nýsælendska Osiania (fyrrv.);Oman;Pakistan;Palau;Palestina;Panama;Papua Nýguinea;Paraguai;Peru;Pitcairnoyggjar;Polarøkini (fyrrv.);Portugal;Pólland;Réunion (fyrrv.);Ruanda;Rumenia;Russland;Sambandsríki Amerika (USA);Sambia;Sameindu Emirríkini;Samoa;San Marino;Sao Tomi og Prinsipi;Saudiarabia;Sálomonsoyggjar;Senegal;Serbia;Serbia og Montenegro (fyrrv.);Seyskelloyggjar;Sierra Leona;Simbabvi;Singapor;Sint Maarten (Niðurlond);Slovakia;Slovenia;Smærri Osianiaoyggjar (USA);Somalia;Sovjetsamveldið (fyrrv.);Spania;Sri Lanka;St. Barthélemy;St. Helena, Ascension og Tristan da Cunha;St. Kitts og Nevis;St. Lusia;St. Pierre og Miquelon;St. Vinsent og Grenadinoyggjar;Sudan;Suðurafrika;Suðurgeorgia og Suðursandwichoyggjar;Suðurkorea;Suðursudan;Surinam;Sveis;Sveis og Liktinstein (fyrrv.);Svøríki;Sýria;Tadsjikistan;Tailand;Taivan;Tansania;Togo;Tokelau;Tonga;Trinidad og Tobago;Tunesia;Turkaland;Turkmenistan;Turks- og Caicosoyggjar;Tuvalu;Týskland;Uganda;Ukraina;Ungarn;Uruguai;Usbekistan;Vanuatu;Vatikanbýur;Venesuela;Vestursahara;Virginoyggjar (Bretland);Virginoyggjar (Bretland) og Montserrat (fyrrv.);Virginoyggjar (USA);Vjetnam;Wallis- og Futunaoyggjar
1988M07;221184734.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;252107.0;0;0;0;0;0;0;0;0;0;18006773.0;0;0;0;0;0;0;0;0;0;0;0;36424616.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2442840.0;0;12130791.0;0;0;0;0;0;0;0;0;0;0;30524.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5250539.0;0;198380.0;353937.0;0;1118455.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;254184.0;0;0;0;0;0;0;0;107106895.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141130.0;0;0;0;0;0;13560087.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7318202.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;783797.0;3815137.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11996340.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
1988M08;155161511.0;0;0;0;0;0;0;0;0;0;0;0;0;0;480150.0;0;0;0;0;0;0;518046.0;0;0;0;0;0;0;0;0;0;21362015.0;0;0;0;0;0;0;0;0;0;0;0;19401866.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15841150.0;0;15343310.0;0;0;0;0;0;0;0;0;0;2043305.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8670248.0;0;838124.0;915688.0;0;3681334.0;0;0;0;0;0;0;0;0;1509000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;895675.0;0;0;0;0;0;0;0;11277233.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7024842.0;0;0;0;0;0;15545515.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5128410.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;839385.0;4152590.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19693625.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
1988M09;196538333.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1162042.0;0;0;0;0;0;0;0;0;0;13800693.0;0;0;0;0;0;0;0;0;0;0;0;48074076.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3728186.0;0;17609217.0;0;0;0;0;0;0;0;0;0;9709278.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18033268.0;0;324972.0;468305.0;0;13827832.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3748149.0;0;0;0;0;0;0;0;8877946.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23821691.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9645834.0;6341637.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;549313.0;2503837.0;0;0;0;1209755.0;0;0;0;0;0;0;0;0;0;0;13102302.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
1988M10;269036673.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;453272.0;0;0;0;0;0;0;0;0;0;44434691.0;0;0;0;0;0;0;0;0;0;0;0;30038980.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2372810.0;0;20231130.0;0;0;0;0;0;0;0;0;0;5234115.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24681656.0;0;667096.0;0;0;7598166.0;0;0;0;0;0;0;0;0;64517000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;217485.0;0;0;0;0;0;0;0;11290508.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19289449.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4794307.0;20696072.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;352539.0;1748201.0;0;0;0;2739870.0;0;0;0;0;0;0;0;0;0;0;7679326.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
1988M11;234815200.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1218593.0;0;0;0;0;0;0;0;0;0;30438161.0;0;0;0;0;0;0;0;0;0;0;0;34188401.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5684132.0;0;18362035.0;0;0;0;0;0;0;0;0;0;3690747.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31240284.0;0;829032.0;0;0;20408294.0;0;0;0;0;0;0;0;0;4230000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;697478.0;0;0;0;0;0;0;0;9101536.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21834732.0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004000.0;0;0;0;0;0;5655144.0;14444668.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1041665.0;2899612.0;0;0;0;1634799.0;0;0;0;0;0;0;0;0;0;0;25211887.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
1988M12;215440627.0;0;0;0;0;0;0;0;0;0;0;0;0;0;460194.0;0;0;0;0;0;0;803667.0;0;0;0;0;0;0;0;0;0;19818715.0;0;0;0;0;0;0;0;0;0;0;0;53128626.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3425602.0;0;14912202.0;0;0;0;0;0;0;0;0;0;577419.0;16012470.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14960675.0;0;235670.0;0;0;8940475.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13200000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8102636.0;0;0;0;0;0;0;0;8503077.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15812060.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14560112.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1283163.0;5511956.0;0;0;0;322513.0;0;0;0;0;0;0;0;0;0;0;14869395.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
1989M01;187525746.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;632824.0;0;0;0;0;0;0;0;0;0;37047491.0;0;0;0;0;0;0;0;0;0;0;0;21426600.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6140555.0;0;9971996.0;0;0;0;0;0;0;0;0;0;5244718.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14383519.0;0;325000.0;0;0;9515241.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4093243.0;0;0;0;0;0;0;0;5521075.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17920875.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12329543.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94279.0;5063992.0;0;0;0;1084213.0;0;0;0;0;0;0;0;0;0;0;36730582.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
1989M02;208217273.0;0;0;0;0;0;0;0;0;0;0;0;0;0;10665.0;0;0;0;0;0;0;3551649.0;0;0;0;0;0;0;0;0;0;17372736.0;0;0;0;0;0;0;0;0;0;0;0;16979618.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;444928.0;0;10541102.0;0;0;0;0;0;0;0;0;0;5130620.0;0;0;0;0;0;0;0;0;0;0;31732.0;0;0;0;0;0;0;16098337.0;0;388100.0;559728.0;0;8649541.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;609020.0;0;0;0;0;0;0;0;3280628.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18043862.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55000000.0;20463530.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2175377.0;7937903.0;0;0;0;2254240.0;0;0;0;0;0;0;0;0;0;0;18693957.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
1989M03;193817694.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1538335.0;0;0;0;0;0;0;0;0;0;15079275.0;0;0;0;0;0;0;0;0;0;0;0;32628475.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3190540.0;0;18000035.0;0;0;0;0;0;0;0;0;0;2989792.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6525856.0;10072.0;438368.0;0;0;16028892.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5513605.0;0;0;0;0;0;0;0;1574176.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18657893.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12940509.0;18418309.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84487.0;7510123.0;0;0;0;1421174.0;0;0;0;0;0;0;0;0;0;0;31267778.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
1989M04;211340432.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596460.0;0;0;0;0;0;0;0;0;0;29765560.0;0;0;0;0;0;0;0;0;0;0;0;31749330.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2261823.0;0;10165009.0;0;0;0;0;0;0;0;0;0;0;11214.0;0;0;0;0;0;0;0;0;0;72522.0;0;0;0;0;0;0;14586529.0;0;505984.0;0;0;8175305.0;0;0;0;0;0;0;0;0;9801.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3072322.0;0;0;0;0;0;0;0;1522516.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5620804.0;0;0;0;0;0;38602480.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8549781.0;15653964.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41888.0;16579051.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23798089.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
